audit_row_id,retailer,retailer_country,department,category_path,product_title_raw,extracted_brand_candidate,normalized_brand_candidate,match_status,matched_brand_id,matched_alias_id,parent_extension_candidate_id,audit_date,notes_internal
COLP001,Coles,AU,Bakery,Crackers & Crispbreads,Maggie Beer Rosemary Oven Baked Crackers | 130g,Maggie Beer,maggie beer,parent_unknown,,,EXT0001,2026-04-29,source_url=https://www.coles.com.au/browse/chips-chocolates-snacks/crackers-rice-cakes/crackers-crispbreads; action=candidate review; notes=Candidate new parent/brand; Coles category snippet exposes shelf presence.
COLP002,Coles,AU,Bakery,Crackers & Crispbreads,Ritz Original Crackers | 227g,Ritz,ritz,matched_canonical_brand,B0069,,,2026-04-29,source_url=https://www.coles.com.au/browse/chips-chocolates-snacks/crackers-rice-cakes/crackers-crispbreads; action=none; notes=Already present under Mondelez.
COLP003,Coles,AU,Pantry / snacks,Arnott's brand page,Arnott's Shapes Original BBQ | 175g,Arnott's,arnotts,matched_canonical_brand,B0185,,,2026-04-29,source_url=https://www.coles.com.au/brands/arnotts-1655129700; action=none; notes=Parent/brand present; sub-brand/product family coverage may warrant alias enrichment.
COLP004,Coles,AU,Pantry / snacks,Arnott's brand page,Arnott's Savoy Crackers Original | 225g,Savoy,savoy,parent_unknown,,,EXT0002,2026-04-29,source_url=https://www.coles.com.au/brands/arnotts-1655129700; action=candidate brand or alias under Arnott's Group; notes=Likely brand/sub-brand gap under Arnott's; candidate brand or alias.
COLP005,Coles,AU,Pantry / snacks,Workplace snacks,Arnott's Tim Tam Chocolate Biscuits Original | 200g,Tim Tam,tim tam,matched_canonical_brand,B0187,,,2026-04-29,source_url=https://www.coles.com.au/offers/workplace-supplies-hub/snacks; action=none; notes=Already present under Arnott's.
COLP006,Coles,AU,Pantry / snacks,Flavoured snacks,Sunbites Biscuit Crackers Share Pack Sour Cream & Chives | 110g,Sunbites,sunbites,matched_canonical_brand,B0256,,,2026-04-29,source_url=https://www.coles.com.au/browse/chips-chocolates-snacks/crackers-rice-cakes/flavoured-snacks; action=none; notes=Already present under PepsiCo.
COLP007,Coles,AU,Pantry / snacks,Breakfast,Sanitarium Weet-bix Multi-grain Breakfast Cereal | 575g,Sanitarium,sanitarium,matched_canonical_brand,B0153,,,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/breakfast?page=5; action=none; notes=Already present; Weet-Bix also present.
COLP008,Coles,AU,Pantry / snacks,Breakfast,Uncle Tobys Oats Quick Sachets Breakfast Cereal Creamy Honey | 700g,Uncle Tobys,uncle tobys,matched_canonical_brand,B0064,,,2026-04-29,source_url=https://www.coles.com.au/browse/pantry/breakfast?page=5; action=none; notes=Already present under Nestlé.
COLP009,Coles,AU,Drinks,Drinks,Coca-Cola Classic Soft Drink Multipack Cans 10x375ml,Coca-Cola,coca cola,matched_canonical_brand,B0087,,,2026-04-29,source_url=https://www.coles.com.au/browse/drinks?page=4; action=none; notes=Already present under The Coca-Cola Company.
COLP010,Coles,AU,Drinks,Drinks,Mount Franklin Lightly Sparkling Water Lime | 10 Pack,Mount Franklin,mount franklin,matched_canonical_brand,B0090,,,2026-04-29,source_url=https://www.coles.com.au/browse/drinks?page=4; action=none; notes=Already present under The Coca-Cola Company.
COLP011,Coles,AU,"Dairy, eggs & fridge",Yoghurt tubs,Jalna Dairy Yoghurt Greek Style | 2kg,Jalna,jalna,matched_canonical_brand,B0197,,,2026-04-29,source_url=https://www.coles.com.au/browse/dairy-eggs-fridge/yoghurt/yoghurt-tubs; action=none; notes=Already present.
